Z3	X2	X	Z1	Z2	Y
a	a	b	b	b	a
b	b	a	b	a	b
b	b	a	b	a	b
a	a	b	b	b	a
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
b	b	a	b	a	b
b	b	a	b	a	b
b	b	a	b	a	b
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
b	b	b	a	a	a
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
a	a	b	b	b	a
b	b	a	b	a	b
b	b	b	a	a	a
a	a	b	b	b	a
b	b	a	b	a	b
b	b	a	b	a	b
b	b	a	b	a	b
b	b	a	b	a	b
b	b	a	b	a	b
b	b	a	b	a	b
b	b	a	b	a	b
b	b	a	b	a	b
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
b	b	b	a	a	a
b	b	b	a	a	a
b	b	a	b	a	b
a	a	b	b	b	a
b	b	a	b	a	b
b	b	a	b	a	b
a	a	b	b	b	a
b	b	a	b	a	b
b	b	a	b	a	b
b	b	a	b	a	b
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
b	b	a	b	a	b
b	b	a	b	a	b
a	a	b	b	b	a
b	b	a	b	a	b
b	b	a	b	a	b
a	a	b	b	b	a
b	b	a	b	a	b
b	b	a	b	a	b
b	b	b	a	a	a
b	b	a	b	a	b
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
b	b	b	a	a	a
b	a	b	a	a	a
b	b	b	a	a	a
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
a	a	b	b	b	a
b	b	a	b	a	b
a	a	b	b	b	a
b	b	b	a	a	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
a	a	b	b	b	a
b	b	b	a	a	a
